party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,6,0,1,168,648
3,5,0,1,120,768
4,3,0,1,69,837
5,3,0,1,69,906
6,4,0,,0,906
7,2,0,1,52,958
8,2,0,,0,958
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,8,1,1,240,923
4,7,1,1,203,1126
5,6,1,,0,1126
6,2,1,1,52,1178
7,2,1,,0,1178
8,2,1,,0,1178
9,2,1,,0,1178
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,8,2,1,240,886
4,7,2,1,203,1089
5,5,2,,0,1089
6,5,2,,0,1089
7,6,2,,0,1089
8,5,2,,0,1089
9,3,2,,0,1089
10,3,2,,0,1089
11,2,2,1,52,1141
12,2,2,,0,1141
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,7,3,1,203,812
4,6,3,1,168,980
5,5,3,,0,980
6,4,3,1,104,1084
7,3,3,,0,1084
8,4,3,,0,1084
9,3,3,,0,1084
10,3,3,,0,1084
11,3,3,,0,1084
12,4,3,,0,1084
13,4,3,,0,1084
14,2,3,,0,1084
15,2,3,,0,1084
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,6,4,1,168,777
4,6,4,1,168,945
5,5,4,1,120,1065
6,6,4,,0,1065
7,3,4,,0,1065
8,3,4,,0,1065
9,4,4,,0,1065
10,3,4,,0,1065
11,4,4,,0,1065
12,2,4,,0,1065
13,2,4,,0,1065
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,8,5,1,240,1052
5,7,5,,0,1052
6,7,5,,0,1052
7,5,5,,0,1052
8,5,5,,0,1052
9,6,5,,0,1052
10,5,5,,0,1052
11,5,5,,0,1052
12,4,5,,0,1052
13,4,5,,0,1052
0,8,6,1,240,240
1,8,6,1,240,480
2,5,6,1,120,600
3,5,6,1,120,720
4,4,6,1,104,824
5,3,6,1,69,893
6,2,6,1,52,945
7,2,6,,0,945
8,2,6,,0,945
9,2,6,,0,945
