party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,5,0,1,120,563
3,5,0,1,120,683
4,6,0,1,168,851
5,3,0,1,69,920
6,3,0,,0,920
7,4,0,,0,920
8,2,0,,0,920
0,7,1,1,203,203
1,8,1,1,240,443
2,5,1,1,120,563
3,4,1,1,104,667
4,4,1,1,104,771
5,4,1,1,104,875
6,4,1,1,104,979
7,2,1,,0,979
8,2,1,,0,979
9,2,1,,0,979
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,7,2,1,203,849
4,6,2,1,168,1017
5,6,2,,0,1017
6,5,2,,0,1017
7,5,2,,0,1017
8,5,2,,0,1017
9,3,2,1,69,1086
10,3,2,,0,1086
11,2,2,,0,1086
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,7,3,1,203,886
4,8,3,1,240,1126
5,8,3,,0,1126
6,6,3,,0,1126
7,3,3,,0,1126
8,4,3,,0,1126
9,4,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,2,3,1,52,1178
13,2,3,,0,1178
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,7,4,1,203,1052
5,8,4,,0,1052
6,7,4,,0,1052
7,5,4,,0,1052
8,6,4,,0,1052
9,6,4,,0,1052
10,3,4,,0,1052
11,3,4,,0,1052
12,3,4,,0,1052
13,2,4,1,52,1104
14,2,4,,0,1104
15,2,4,,0,1104
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,8,5,1,240,886
4,8,5,1,240,1126
5,8,5,,0,1126
6,5,5,,0,1126
7,5,5,,0,1126
8,6,5,,0,1126
9,5,5,,0,1126
10,4,5,,0,1126
11,3,5,,0,1126
12,3,5,,0,1126
13,2,5,1,52,1178
14,2,5,,0,1178
0,7,6,1,203,203
1,8,6,1,240,443
2,6,6,1,168,611
3,6,6,1,168,779
4,6,6,1,168,947
5,4,6,1,104,1051
6,3,6,,0,1051
7,3,6,,0,1051
8,4,6,,0,1051
9,2,6,,0,1051
10,2,6,,0,1051
