party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,5,0,1,120,600
3,6,0,1,360,960
4,5,0,1,120,1080
5,5,0,1,120,1200
6,5,0,,0,1200
7,5,0,,0,1200
8,2,0,,0,1200
9,2,0,,0,1200
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,7,1,1,203,849
4,6,1,1,360,1209
5,6,1,,0,1209
6,4,1,1,160,1369
7,2,1,,0,1369
8,2,1,,0,1369
9,2,1,,0,1369
10,2,1,,0,1369
0,7,2,1,203,203
1,7,2,1,203,406
2,5,2,1,120,526
3,5,2,1,120,646
4,5,2,1,120,766
5,5,2,1,120,886
6,5,2,,0,886
7,6,2,,0,886
8,3,2,,0,886
9,4,2,,0,886
10,2,2,,0,886
11,2,2,,0,886
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,7,3,1,203,849
4,8,3,1,240,1089
5,6,3,,0,1089
6,5,3,,0,1089
7,5,3,,0,1089
8,6,3,,0,1089
9,6,3,,0,1089
10,5,3,,0,1089
11,5,3,,0,1089
12,2,3,1,70,1159
13,2,3,,0,1159
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,6,4,1,360,1246
5,5,4,,0,1246
6,6,4,,0,1246
7,5,4,,0,1246
8,3,4,1,69,1315
9,3,4,,0,1315
10,4,4,,0,1315
11,2,4,,0,1315
12,2,4,,0,1315
13,2,4,,0,1315
14,2,4,,0,1315
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,8,5,1,240,886
4,8,5,1,240,1126
5,6,5,,0,1126
6,6,5,,0,1126
7,5,5,,0,1126
8,5,5,,0,1126
9,3,5,,0,1126
10,3,5,,0,1126
11,4,5,,0,1126
12,4,5,,0,1126
13,2,5,1,70,1196
14,2,5,,0,1196
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,7,6,1,203,849
4,6,6,1,360,1209
5,5,6,,0,1209
6,4,6,1,160,1369
7,3,6,,0,1369
8,3,6,,0,1369
9,4,6,,0,1369
