party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,6,0,1,360,563
2,6,0,1,360,923
3,6,0,1,360,1283
4,6,0,1,360,1643
5,3,0,1,69,1712
6,4,0,,0,1712
7,2,0,1,70,1782
0,7,1,1,203,203
1,8,1,1,240,443
2,6,1,1,360,803
3,6,1,1,360,1163
4,4,1,1,160,1323
5,3,1,1,69,1392
6,3,1,,0,1392
7,3,1,,0,1392
8,4,1,,0,1392
9,4,1,,0,1392
10,2,1,1,70,1462
11,2,1,,0,1462
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,8,2,1,240,886
4,8,2,1,240,1126
5,6,2,,0,1126
6,5,2,,0,1126
7,5,2,,0,1126
8,6,2,,0,1126
9,3,2,,0,1126
10,4,2,,0,1126
11,4,2,,0,1126
12,2,2,1,70,1196
0,8,3,1,240,240
1,7,3,1,203,443
2,8,3,1,240,683
3,7,3,1,203,886
4,5,3,1,120,1006
5,5,3,,0,1006
6,6,3,,0,1006
7,5,3,,0,1006
8,5,3,,0,1006
9,6,3,,0,1006
10,4,3,1,160,1166
11,4,3,,0,1166
12,4,3,,0,1166
13,2,3,,0,1166
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,6,4,1,360,1006
4,5,4,1,120,1126
5,6,4,1,360,1486
6,6,4,,0,1486
7,6,4,,0,1486
8,4,4,,0,1486
9,3,4,,0,1486
10,4,4,,0,1486
11,3,4,,0,1486
12,2,4,,0,1486
13,2,4,,0,1486
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,6,5,1,360,1006
4,5,5,1,120,1126
5,5,5,1,120,1246
6,3,5,,0,1246
7,4,5,,0,1246
8,3,5,,0,1246
9,2,5,,0,1246
10,2,5,,0,1246
11,2,5,,0,1246
12,2,5,,0,1246
13,2,5,,0,1246
0,8,6,1,240,240
1,7,6,1,203,443
2,7,6,1,203,646
3,7,6,1,203,849
4,7,6,1,203,1052
5,3,6,,0,1052
6,4,6,,0,1052
7,2,6,1,70,1122
8,2,6,,0,1122
9,2,6,,0,1122
