party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,5,0,1,120,360
2,5,0,1,120,480
3,6,0,1,168,648
4,4,0,1,104,752
5,4,0,1,104,856
6,4,0,1,104,960
7,3,0,,0,960
8,2,0,,0,960
9,2,0,,0,960
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,7,1,1,203,886
4,5,1,1,120,1006
5,6,1,,0,1006
6,6,1,,0,1006
7,3,1,1,69,1075
8,3,1,,0,1075
9,3,1,,0,1075
10,4,1,,0,1075
0,8,2,1,240,240
1,7,2,1,203,443
2,8,2,1,240,683
3,7,2,1,203,886
4,7,2,1,203,1089
5,5,2,,0,1089
6,5,2,,0,1089
7,5,2,,0,1089
8,5,2,,0,1089
9,6,2,,0,1089
10,4,2,,0,1089
11,4,2,,0,1089
12,2,2,1,52,1141
13,2,2,,0,1141
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,7,3,1,203,849
4,5,3,1,120,969
5,6,3,,0,969
6,5,3,,0,969
7,4,3,1,104,1073
8,3,3,,0,1073
9,4,3,,0,1073
10,4,3,,0,1073
11,4,3,,0,1073
12,2,3,,0,1073
13,2,3,,0,1073
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,8,4,1,240,923
4,5,4,1,120,1043
5,5,4,,0,1043
6,6,4,,0,1043
7,5,4,,0,1043
8,4,4,1,104,1147
9,3,4,,0,1147
10,3,4,,0,1147
11,4,4,,0,1147
12,2,4,,0,1147
13,2,4,,0,1147
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,7,5,1,203,1015
5,5,5,,0,1015
6,5,5,,0,1015
7,5,5,,0,1015
8,4,5,,0,1015
9,3,5,,0,1015
10,4,5,,0,1015
11,4,5,,0,1015
12,3,5,,0,1015
13,3,5,,0,1015
0,8,6,1,240,240
1,7,6,1,203,443
2,7,6,1,203,646
3,5,6,1,120,766
4,6,6,1,168,934
5,3,6,1,69,1003
6,4,6,,0,1003
7,3,6,,0,1003
8,3,6,,0,1003
9,3,6,,0,1003
10,2,6,,0,1003
11,2,6,,0,1003
