party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,5,0,1,120,600
3,6,0,1,168,768
4,6,0,1,168,936
5,4,0,1,104,1040
6,3,0,,0,1040
7,4,0,,0,1040
8,2,0,,0,1040
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,6,1,1,168,888
4,6,1,1,168,1056
5,6,1,1,168,1224
6,6,1,,0,1224
7,4,1,,0,1224
8,4,1,,0,1224
9,3,1,,0,1224
10,3,1,,0,1224
11,2,1,,0,1224
0,5,2,1,120,120
1,5,2,1,120,240
2,5,2,1,120,360
3,6,2,1,168,528
4,5,2,1,120,648
5,5,2,1,120,768
6,3,2,,0,768
7,3,2,,0,768
8,4,2,,0,768
9,3,2,,0,768
10,2,2,1,52,820
11,2,2,,0,820
12,2,2,,0,820
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,6,3,,0,1126
6,6,3,,0,1126
7,6,3,,0,1126
8,3,3,,0,1126
9,3,3,,0,1126
10,4,3,,0,1126
11,3,3,,0,1126
12,3,3,,0,1126
13,2,3,1,52,1178
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,8,4,1,240,886
4,8,4,1,240,1126
5,7,4,,0,1126
6,5,4,,0,1126
7,5,4,,0,1126
8,5,4,,0,1126
9,3,4,,0,1126
10,3,4,,0,1126
11,4,4,,0,1126
12,4,4,,0,1126
13,4,4,,0,1126
14,2,4,1,52,1178
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,7,5,1,203,886
4,6,5,1,168,1054
5,6,5,,0,1054
6,5,5,,0,1054
7,5,5,,0,1054
8,3,5,1,69,1123
9,3,5,,0,1123
10,4,5,,0,1123
11,3,5,,0,1123
12,4,5,,0,1123
13,4,5,,0,1123
14,3,5,,0,1123
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,6,6,1,168,814
4,6,6,1,168,982
5,5,6,1,120,1102
6,5,6,,0,1102
7,3,6,,0,1102
8,4,6,,0,1102
9,2,6,,0,1102
10,2,6,,0,1102
