party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,5,0,1,120,803
4,5,0,1,120,923
5,6,0,1,360,1283
6,4,0,,0,1283
7,4,0,,0,1283
8,2,0,,0,1283
9,2,0,,0,1283
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,5,1,1,120,766
4,3,1,1,69,835
5,4,1,1,160,995
6,3,1,,0,995
7,4,1,,0,995
8,2,1,,0,995
9,2,1,,0,995
10,2,1,,0,995
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,8,2,1,240,886
4,7,2,1,203,1089
5,6,2,,0,1089
6,6,2,,0,1089
7,3,2,,0,1089
8,3,2,,0,1089
9,2,2,1,70,1159
10,2,2,,0,1159
11,2,2,,0,1159
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,8,3,1,240,849
4,7,3,1,203,1052
5,8,3,,0,1052
6,6,3,,0,1052
7,3,3,,0,1052
8,3,3,,0,1052
9,4,3,,0,1052
10,4,3,,0,1052
11,3,3,,0,1052
12,2,3,1,70,1122
13,2,3,,0,1122
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,8,4,1,240,886
4,7,4,1,203,1089
5,6,4,,0,1089
6,6,4,,0,1089
7,6,4,,0,1089
8,4,4,,0,1089
9,3,4,,0,1089
10,3,4,,0,1089
11,4,4,,0,1089
12,4,4,,0,1089
13,2,4,1,70,1159
14,2,4,,0,1159
15,2,4,,0,1159
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,7,5,1,203,849
4,6,5,1,360,1209
5,6,5,,0,1209
6,5,5,,0,1209
7,6,5,,0,1209
8,6,5,,0,1209
9,5,5,,0,1209
10,4,5,1,160,1369
11,3,5,,0,1369
12,3,5,,0,1369
13,3,5,,0,1369
14,2,5,,0,1369
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,7,6,1,203,886
4,4,6,1,160,1046
5,3,6,1,69,1115
6,3,6,,0,1115
7,2,6,,0,1115
8,2,6,,0,1115
9,2,6,,0,1115
