party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,5,0,1,120,646
4,3,0,1,69,715
5,4,0,1,88,803
6,3,0,1,69,872
7,4,0,1,88,960
8,4,0,1,88,1048
9,2,0,1,52,1100
10,2,0,1,52,1152
0,7,1,1,203,203
1,5,1,1,120,323
2,6,1,1,168,491
3,6,1,1,168,659
4,5,1,1,120,779
5,6,1,1,168,947
6,6,1,1,168,1115
7,6,1,1,168,1283
8,6,1,1,168,1451
9,4,1,1,88,1539
10,3,1,1,69,1608
11,3,1,1,69,1677
12,4,1,1,88,1765
13,3,1,1,69,1834
14,4,1,1,88,1922
15,3,1,1,69,1991
16,4,1,,0,1991
17,3,1,,0,1991
18,3,1,,0,1991
19,2,1,,0,1991
20,2,1,,0,1991
21,2,1,,0,1991
22,2,1,,0,1991
23,2,1,,0,1991
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,7,2,1,203,886
4,8,2,1,240,1126
5,8,2,1,240,1366
6,6,2,1,168,1534
7,5,2,1,120,1654
8,6,2,1,168,1822
9,5,2,1,120,1942
10,6,2,1,168,2110
11,5,2,1,120,2230
12,5,2,1,120,2350
13,5,2,,0,2350
14,3,2,,0,2350
15,4,2,,0,2350
16,3,2,,0,2350
17,4,2,,0,2350
18,4,2,,0,2350
19,4,2,,0,2350
20,4,2,,0,2350
21,3,2,,0,2350
22,2,2,1,52,2402
0,7,3,1,203,203
1,5,3,1,120,323
2,5,3,1,120,443
3,5,3,1,120,563
4,3,3,1,69,632
5,4,3,1,88,720
6,4,3,1,88,808
7,4,3,1,88,896
8,2,3,1,52,948
9,2,3,1,52,1000
10,2,3,1,52,1052
11,2,3,1,52,1104
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,8,4,1,240,886
4,7,4,1,203,1089
5,8,4,1,240,1329
6,7,4,1,203,1532
7,8,4,1,240,1772
8,7,4,1,203,1975
9,8,4,1,240,2215
10,7,4,1,203,2418
11,7,4,1,203,2621
12,7,4,,0,2621
13,6,4,,0,2621
14,5,4,,0,2621
15,5,4,,0,2621
16,5,4,,0,2621
17,5,4,,0,2621
18,6,4,,0,2621
19,6,4,,0,2621
20,5,4,,0,2621
21,6,4,,0,2621
22,6,4,,0,2621
23,5,4,,0,2621
24,3,4,,0,2621
25,3,4,,0,2621
26,3,4,,0,2621
27,3,4,,0,2621
28,3,4,,0,2621
29,3,4,,0,2621
30,3,4,,0,2621
31,3,4,,0,2621
32,4,4,,0,2621
33,2,4,,0,2621
34,2,4,,0,2621
35,2,4,,0,2621
36,2,4,,0,2621
37,2,4,,0,2621
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,7,5,1,203,1126
5,7,5,1,203,1329
6,8,5,1,240,1569
7,8,5,1,240,1809
8,7,5,1,203,2012
9,5,5,1,120,2132
10,6,5,1,168,2300
11,5,5,1,120,2420
12,6,5,1,168,2588
13,5,5,,0,2588
14,6,5,,0,2588
15,5,5,,0,2588
16,6,5,,0,2588
17,3,5,,0,2588
18,4,5,,0,2588
19,4,5,,0,2588
20,4,5,,0,2588
21,3,5,,0,2588
22,3,5,,0,2588
23,3,5,,0,2588
24,4,5,,0,2588
25,4,5,,0,2588
26,2,5,,0,2588
27,2,5,,0,2588
28,2,5,,0,2588
29,2,5,,0,2588
30,2,5,,0,2588
0,8,6,1,240,240
1,7,6,1,203,443
2,7,6,1,203,646
3,8,6,1,240,886
4,8,6,1,240,1126
5,6,6,1,168,1294
6,4,6,1,88,1382
7,2,6,1,52,1434
8,2,6,1,52,1486
9,2,6,1,52,1538
