Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,7,1
2,0,8,1
3,0,8,1
4,0,7,10
5,0,6,1
6,0,2,1
7,0,2,1
8,0,2,0
Timeslot 2
0,1,8,1
1,1,7,1
2,1,8,1
3,1,6,1
4,1,6,1
5,1,3,1
6,1,3,0
7,1,4,0
8,1,3,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,7,0
1,2,8,1
2,2,7,1
3,2,5,1
4,2,6,10
5,2,6,0
6,2,5,0
7,2,6,1
8,2,4,0
9,2,3,1
10,2,3,0
11,2,4,1
12,2,2,0
Timeslot 4
0,3,8,0
1,3,7,1
2,3,8,0
3,3,7,1
4,3,7,1
5,3,8,1
6,3,5,0
7,3,6,0
8,3,5,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,3,0
13,3,3,0
14,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,10
3,4,7,1
4,4,5,1
5,4,5,0
6,4,5,0
7,4,3,1
8,4,3,0
9,4,3,0
10,4,4,0
11,4,2,1
12,4,2,0
13,4,2,1
Timeslot 6
0,5,8,1
1,5,7,1
2,5,8,10
3,5,8,10
4,5,7,1
5,5,5,0
6,5,6,0
7,5,5,1
8,5,4,0
9,5,4,0
10,5,4,1
11,5,2,1
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,6,1
3,6,6,1
4,6,5,1
5,6,3,1
6,6,4,0
7,6,2,0
8,6,2,0
9,6,2,0
10,6,2,0
Objective Function value: 7619



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,7,1
2,0,8,1
3,0,8,1
4,0,7,10
5,0,6,1
6,0,2,1
7,0,2,1
8,0,2,0
Timeslot 2
0,1,8,1
1,1,7,1
2,1,8,1
3,1,6,1
4,1,6,1
5,1,3,1
6,1,3,0
7,1,4,0
8,1,3,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,7,0
1,2,8,1
2,2,7,1
3,2,5,1
4,2,6,10
5,2,6,0
6,2,5,0
7,2,6,1
8,2,4,0
9,2,3,1
10,2,3,0
11,2,4,1
12,2,2,0
Timeslot 4
2,3,8,0
1,3,7,1
3,3,7,1
4,3,7,1
5,3,8,1
14,3,2,1
0,3,8,0
6,3,5,0
7,3,6,0
8,3,5,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,3,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,10
3,4,7,1
4,4,5,1
5,4,5,0
6,4,5,0
7,4,3,1
8,4,3,0
9,4,3,0
10,4,4,0
11,4,2,1
12,4,2,0
13,4,2,1
Timeslot 6
0,5,8,1
1,5,7,1
2,5,8,10
3,5,8,10
4,5,7,1
5,5,5,0
6,5,6,0
7,5,5,1
8,5,4,0
9,5,4,0
10,5,4,1
11,5,2,1
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,6,1
3,6,6,1
4,6,5,1
5,6,3,1
6,6,4,0
7,6,2,0
8,6,2,0
9,6,2,0
10,6,2,0
Objective Function value: 931



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,7,1
2,0,8,1
3,0,8,1
4,0,7,10
5,0,6,1
6,0,2,1
7,0,2,1
8,0,2,0
Timeslot 2
0,1,8,1
1,1,7,1
2,1,8,1
3,1,6,1
4,1,6,1
5,1,3,1
6,1,3,0
7,1,4,0
8,1,3,0
9,1,2,0
10,1,2,0
Timeslot 3
5,2,6,0
1,2,8,1
2,2,7,1
3,2,5,1
4,2,6,10
7,2,6,1
0,2,7,0
6,2,5,0
8,2,4,0
9,2,3,1
10,2,3,0
11,2,4,1
12,2,2,0
Timeslot 4
0,3,8,0
1,3,7,1
2,3,8,0
3,3,7,1
4,3,7,1
5,3,8,1
6,3,5,0
7,3,6,0
8,3,5,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,3,0
13,3,3,0
14,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,10
3,4,7,1
4,4,5,1
5,4,5,0
6,4,5,0
7,4,3,1
8,4,3,0
9,4,3,0
10,4,4,0
11,4,2,1
12,4,2,0
13,4,2,1
Timeslot 6
0,5,8,1
1,5,7,1
2,5,8,10
3,5,8,10
4,5,7,1
5,5,5,0
6,5,6,0
7,5,5,1
8,5,4,0
9,5,4,0
10,5,4,1
11,5,2,1
12,5,2,0
13,5,2,0
14,5,2,0
Timeslot 7
0,6,7,1
1,6,7,1
2,6,6,1
3,6,6,1
4,6,5,1
5,6,3,1
6,6,4,0
7,6,2,0
8,6,2,0
9,6,2,0
10,6,2,0
Objective Function value: 931



party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
