Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
4,1,6,1
5,1,5,0
6,1,4,0
7,1,3,1
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
3,2,5,1
4,2,5,0
5,2,6,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
1,6,7,0
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 920



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
4,1,6,1
5,1,5,0
6,1,4,0
7,1,3,1
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
3,2,5,1
4,2,5,0
5,2,6,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
10,3,3,1
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
12,5,2,1
13,5,2,0
14,5,2,0
Timeslot 7
0,6,8,0
1,6,7,0
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
6,6,4,1
7,6,4,0
8,6,3,1
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 920



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
4,1,6,1
5,1,5,0
6,1,4,0
7,1,3,1
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
4,2,5,0
5,2,6,0
11,2,2,1
3,2,5,1
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 1008



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
4,1,6,1
5,1,5,0
6,1,4,0
7,1,3,1
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
3,2,5,1
4,2,5,0
5,2,6,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 852



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
5,1,5,0
7,1,3,1
4,1,6,1
6,1,4,0
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
11,2,2,1
3,2,5,1
5,2,6,0
4,2,5,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 1008



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
4,1,6,1
5,1,5,0
6,1,4,0
7,1,3,1
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
11,2,2,1
3,2,5,1
5,2,6,0
4,2,5,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
3,4,6,0
4,4,6,0
5,4,3,1
6,4,3,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 821



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
3,0,7,0
4,0,7,1
5,0,8,0
0,0,8,0
6,0,6,1
7,0,5,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,5,1
3,1,6,0
7,1,3,1
5,1,5,0
4,1,6,1
6,1,4,0
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
1,2,8,0
2,2,8,1
11,2,2,1
3,2,5,1
5,2,6,0
4,2,5,0
6,2,5,0
7,2,4,0
8,2,4,1
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
4,4,6,0
5,4,3,1
6,4,3,0
3,4,6,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 972



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
4,0,7,1
5,0,8,0
7,0,5,1
3,0,7,0
0,0,8,0
6,0,6,1
Timeslot 2
0,1,7,1
2,1,5,1
3,1,6,0
7,1,3,1
4,1,6,1
1,1,7,0
5,1,5,0
6,1,4,0
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
2,2,8,1
11,2,2,1
3,2,5,1
8,2,4,1
1,2,8,0
5,2,6,0
4,2,5,0
6,2,5,0
7,2,4,0
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,5,1
5,4,3,1
6,4,3,0
4,4,6,0
3,4,6,0
7,4,3,1
8,4,3,0
9,4,2,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,8,1
3,5,7,0
4,5,7,1
12,5,2,1
5,5,6,1
6,5,6,0
7,5,6,0
8,5,6,0
9,5,6,0
10,5,3,0
11,5,4,0
13,5,2,0
14,5,2,0
Timeslot 7
2,6,5,1
3,6,5,0
4,6,6,1
5,6,3,1
8,6,3,1
1,6,7,0
0,6,8,0
6,6,4,1
7,6,4,0
9,6,3,0
10,6,2,0
11,6,2,0
Objective Function value: 989



Incumbent 8
party,timeslot,party_size,seated
Timeslot 1
1,0,8,1
2,0,8,1
4,0,7,1
7,0,5,1
6,0,6,1
5,0,8,0
3,0,7,0
0,0,8,0
Timeslot 2
0,1,7,1
7,1,3,1
4,1,6,1
2,1,5,1
3,1,6,0
1,1,7,0
5,1,5,0
6,1,4,0
8,1,2,0
9,1,2,0
10,1,2,0
Timeslot 3
0,2,8,1
2,2,8,1
11,2,2,1
3,2,5,1
8,2,4,1
1,2,8,0
5,2,6,0
4,2,5,0
6,2,5,0
7,2,4,0
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,8,1
3,3,8,1
4,3,6,1
10,3,3,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,6,0
9,3,5,0
11,3,3,0
12,3,4,0
13,3,3,0
Timeslot 5
0,4,7,1
