Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
5,0,4,1
7,0,2,1
4,0,4,0
6,0,2,0
Timeslot 2
1,1,8,1
4,1,5,1
6,1,3,1
9,1,4,1
7,1,4,1
10,1,2,1
3,1,8,0
8,1,4,0
0,1,7,0
2,1,8,0
5,1,6,0
Timeslot 3
0,2,7,1
4,2,6,1
5,2,5,1
8,2,4,1
6,2,4,1
11,2,2,1
3,2,5,0
2,2,8,0
1,2,7,0
7,2,3,0
9,2,3,0
10,2,4,0
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
11,3,2,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,4,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,1
2,4,6,1
3,4,5,1
4,4,6,1
5,4,6,1
8,4,3,1
1,4,8,0
6,4,5,0
7,4,4,0
9,4,3,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
4,5,7,1
12,5,2,1
8,5,6,1
11,5,3,1
13,5,2,1
1,5,7,0
2,5,7,0
3,5,7,0
5,5,8,0
6,5,6,0
7,5,5,0
9,5,4,0
10,5,4,0
Timeslot 7
0,6,8,1
1,6,7,1
3,6,5,1
4,6,5,1
5,6,6,1
11,6,2,1
10,6,2,0
2,6,8,0
6,6,4,0
7,6,3,0
8,6,3,0
9,6,2,0
Objective Function value: 1091



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
4,0,4,0
5,0,4,1
6,0,2,0
7,0,2,1
Timeslot 2
0,1,7,0
1,1,8,1
2,1,8,0
3,1,8,0
4,1,5,1
5,1,6,0
6,1,3,1
7,1,4,1
8,1,4,0
9,1,4,1
10,1,2,1
Timeslot 3
0,2,7,1
1,2,7,0
2,2,8,0
3,2,5,0
4,2,6,1
5,2,5,1
6,2,4,1
7,2,3,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,4,0
11,3,2,1
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,6,1
3,4,5,1
4,4,6,1
5,4,6,1
6,4,5,0
7,4,4,0
8,4,3,1
9,4,3,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,0
2,5,7,0
3,5,7,0
4,5,7,1
5,5,8,0
6,5,6,0
7,5,5,0
8,5,6,1
9,5,4,0
10,5,4,0
11,5,3,1
12,5,2,1
13,5,2,1
Timeslot 7
0,6,8,1
1,6,7,1
2,6,8,0
3,6,5,1
4,6,5,1
5,6,6,1
6,6,4,0
7,6,3,0
8,6,3,0
9,6,2,0
10,6,2,0
11,6,2,1
Objective Function value: 975



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
4,0,4,0
5,0,4,1
6,0,2,0
7,0,2,1
Timeslot 2
0,1,7,0
1,1,8,1
2,1,8,0
3,1,8,0
4,1,5,1
6,1,3,1
5,1,6,0
7,1,4,1
8,1,4,0
9,1,4,1
10,1,2,1
Timeslot 3
0,2,7,1
1,2,7,0
2,2,8,0
3,2,5,0
4,2,6,1
5,2,5,1
6,2,4,1
7,2,3,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
11,3,2,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,4,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,6,1
3,4,5,1
4,4,6,1
5,4,6,1
6,4,5,0
7,4,4,0
8,4,3,1
9,4,3,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,0
2,5,7,0
3,5,7,0
4,5,7,1
12,5,2,1
5,5,8,0
6,5,6,0
7,5,5,0
8,5,6,1
9,5,4,0
10,5,4,0
11,5,3,1
13,5,2,1
Timeslot 7
0,6,8,1
1,6,7,1
2,6,8,0
3,6,5,1
4,6,5,1
5,6,6,1
6,6,4,0
7,6,3,0
8,6,3,0
9,6,2,0
10,6,2,0
11,6,2,1
Objective Function value: 1055



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
5,0,4,1
7,0,2,1
4,0,4,0
6,0,2,0
Timeslot 2
0,1,7,0
1,1,8,1
2,1,8,0
3,1,8,0
4,1,5,1
6,1,3,1
5,1,6,0
7,1,4,1
8,1,4,0
9,1,4,1
10,1,2,1
Timeslot 3
0,2,7,1
1,2,7,0
2,2,8,0
3,2,5,0
4,2,6,1
5,2,5,1
6,2,4,1
7,2,3,0
8,2,4,1
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
11,3,2,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,4,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,6,1
3,4,5,1
4,4,6,1
5,4,6,1
6,4,5,0
7,4,4,0
8,4,3,1
9,4,3,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,0
2,5,7,0
3,5,7,0
4,5,7,1
12,5,2,1
5,5,8,0
6,5,6,0
7,5,5,0
8,5,6,1
9,5,4,0
10,5,4,0
11,5,3,1
13,5,2,1
Timeslot 7
0,6,8,1
1,6,7,1
2,6,8,0
3,6,5,1
4,6,5,1
5,6,6,1
6,6,4,0
7,6,3,0
8,6,3,0
9,6,2,0
10,6,2,0
11,6,2,1
Objective Function value: 1056



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
5,0,4,1
7,0,2,1
4,0,4,0
6,0,2,0
Timeslot 2
1,1,8,1
3,1,8,0
4,1,5,1
6,1,3,1
9,1,4,1
8,1,4,0
0,1,7,0
2,1,8,0
5,1,6,0
7,1,4,1
10,1,2,1
Timeslot 3
0,2,7,1
3,2,5,0
4,2,6,1
5,2,5,1
8,2,4,1
6,2,4,1
2,2,8,0
1,2,7,0
7,2,3,0
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
11,3,2,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,4,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,6,1
3,4,5,1
4,4,6,1
5,4,6,1
6,4,5,0
7,4,4,0
8,4,3,1
9,4,3,0
10,4,2,0
11,4,2,0
12,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,7,0
4,5,7,1
12,5,2,1
8,5,6,1
11,5,3,1
2,5,7,0
3,5,7,0
5,5,8,0
6,5,6,0
7,5,5,0
9,5,4,0
10,5,4,0
13,5,2,1
Timeslot 7
0,6,8,1
1,6,7,1
3,6,5,1
4,6,5,1
5,6,6,1
10,6,2,0
2,6,8,0
6,6,4,0
7,6,3,0
8,6,3,0
9,6,2,0
11,6,2,1
Objective Function value: 1091



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,7,1
3,0,5,1
5,0,4,1
7,0,2,1
4,0,4,0
6,0,2,0
Timeslot 2
1,1,8,1
3,1,8,0
4,1,5,1
6,1,3,1
9,1,4,1
7,1,4,1
8,1,4,0
0,1,7,0
2,1,8,0
5,1,6,0
10,1,2,1
Timeslot 3
0,2,7,1
3,2,5,0
4,2,6,1
5,2,5,1
8,2,4,1
6,2,4,1
2,2,8,0
1,2,7,0
7,2,3,0
9,2,3,0
10,2,4,0
11,2,2,1
12,2,2,0
Timeslot 4
0,3,7,1
1,3,5,1
2,3,5,1
3,3,6,1
4,3,5,1
11,3,2,1
5,3,6,0
6,3,6,0
7,3,4,0
8,3,4,0
