Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
9,1,2,1
6,1,4,0
7,1,3,0
8,1,4,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
4,2,6,0
5,2,5,0
6,2,6,0
7,2,3,1
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
3,3,8,0
4,3,5,1
7,3,4,1
12,3,3,1
2,3,7,0
5,3,6,0
6,3,5,0
8,3,3,0
9,3,3,0
10,3,4,0
11,3,3,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,8,0
3,4,7,0
4,4,6,1
11,4,3,1
5,4,6,0
6,4,6,1
7,4,6,0
8,4,6,0
9,4,6,0
10,4,5,1
12,4,4,0
13,4,4,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,5,1
3,5,6,0
4,5,6,0
5,5,4,0
6,5,4,0
7,5,3,1
8,5,4,0
9,5,3,0
10,5,2,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,8,1
1,6,8,0
2,6,7,1
3,6,8,1
4,6,6,1
7,6,4,1
5,6,5,0
6,6,6,0
8,6,3,0
9,6,4,0
10,6,3,0
11,6,2,1
Objective Function value: 7361



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
6,1,4,0
7,1,3,0
8,1,4,1
9,1,2,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
4,2,6,0
5,2,5,0
6,2,6,0
7,2,3,1
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
2,3,7,0
3,3,8,0
4,3,5,1
5,3,6,0
6,3,5,0
7,3,4,1
8,3,3,0
9,3,3,0
10,3,4,0
11,3,3,0
12,3,3,1
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,8,0
3,4,7,0
4,4,6,1
5,4,6,0
6,4,6,1
7,4,6,0
8,4,6,0
9,4,6,0
10,4,5,1
11,4,3,1
12,4,4,0
13,4,4,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,5,1
3,5,6,0
4,5,6,0
5,5,4,0
6,5,4,0
7,5,3,1
8,5,4,0
9,5,3,0
10,5,2,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,8,1
1,6,8,0
2,6,7,1
3,6,8,1
4,6,6,1
5,6,5,0
6,6,6,0
7,6,4,1
8,6,3,0
9,6,4,0
10,6,3,0
11,6,2,1
Objective Function value: 7227



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
9,1,2,1
6,1,4,0
7,1,3,0
8,1,4,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
5,2,5,0
7,2,3,1
4,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
4,3,5,1
7,3,4,1
12,3,3,1
3,3,8,0
2,3,7,0
5,3,6,0
6,3,5,0
8,3,3,0
9,3,3,0
10,3,4,0
11,3,3,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,8,0
3,4,7,0
4,4,6,1
11,4,3,1
5,4,6,0
6,4,6,1
7,4,6,0
8,4,6,0
9,4,6,0
10,4,5,1
12,4,4,0
13,4,4,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,5,1
3,5,6,0
4,5,6,0
5,5,4,0
6,5,4,0
7,5,3,1
8,5,4,0
9,5,3,0
10,5,2,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,8,1
1,6,8,0
2,6,7,1
3,6,8,1
4,6,6,1
7,6,4,1
5,6,5,0
6,6,6,0
8,6,3,0
9,6,4,0
10,6,3,0
11,6,2,1
Objective Function value: 8369



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
9,1,2,1
6,1,4,0
7,1,3,0
8,1,4,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
4,2,6,0
5,2,5,0
6,2,6,0
7,2,3,1
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
4,3,5,1
7,3,4,1
12,3,3,1
3,3,8,0
2,3,7,0
5,3,6,0
6,3,5,0
8,3,3,0
9,3,3,0
10,3,4,0
11,3,3,0
13,3,2,0
Timeslot 5
0,4,7,1
1,4,8,0
2,4,8,0
3,4,7,0
4,4,6,1
11,4,3,1
5,4,6,0
6,4,6,1
7,4,6,0
8,4,6,0
9,4,6,0
10,4,5,1
12,4,4,0
13,4,4,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,5,1
3,5,6,0
4,5,6,0
5,5,4,0
6,5,4,0
7,5,3,1
8,5,4,0
9,5,3,0
10,5,2,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,8,1
1,6,8,0
2,6,7,1
3,6,8,1
4,6,6,1
7,6,4,1
5,6,5,0
6,6,6,0
8,6,3,0
9,6,4,0
10,6,3,0
11,6,2,1
Objective Function value: 7262



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
9,1,2,1
6,1,4,0
7,1,3,0
8,1,4,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
7,2,3,1
5,2,5,0
4,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
4,3,5,1
7,3,4,1
12,3,3,1
3,3,8,0
2,3,7,0
5,3,6,0
6,3,5,0
8,3,3,0
9,3,3,0
10,3,4,0
11,3,3,0
13,3,2,0
Timeslot 5
0,4,7,1
3,4,7,0
4,4,6,1
11,4,3,1
6,4,6,1
10,4,5,1
1,4,8,0
2,4,8,0
5,4,6,0
7,4,6,0
8,4,6,0
9,4,6,0
12,4,4,0
13,4,4,0
Timeslot 6
0,5,7,1
1,5,7,1
2,5,5,1
3,5,6,0
4,5,6,0
10,5,2,1
5,5,4,0
6,5,4,0
7,5,3,1
8,5,4,0
9,5,3,0
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,8,1
1,6,8,0
2,6,7,1
3,6,8,1
4,6,6,1
7,6,4,1
5,6,5,0
6,6,6,0
8,6,3,0
9,6,4,0
10,6,3,0
11,6,2,1
Objective Function value: 7465



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,5,0
3,0,6,1
4,0,3,1
5,0,2,1
6,0,2,1
7,0,2,0
8,0,2,0
Timeslot 2
0,1,8,0
1,1,5,1
2,1,6,1
3,1,6,1
4,1,5,1
5,1,4,0
9,1,2,1
6,1,4,0
7,1,3,0
8,1,4,1
10,1,2,1
Timeslot 3
0,2,8,1
1,2,8,1
2,2,7,0
3,2,5,0
7,2,3,1
5,2,5,0
4,2,6,0
6,2,6,0
8,2,3,0
9,2,4,0
10,2,3,1
11,2,2,1
Timeslot 4
0,3,7,1
1,3,8,1
4,3,5,1
7,3,4,1
12,3,3,1
3,3,8,0
2,3,7,0
5,3,6,0
6,3,5,0
