Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
8,0,3,1
5,0,6,0
6,0,5,0
7,0,5,0
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
6,1,4,0
8,1,2,0
4,1,6,0
5,1,5,0
7,1,2,0
9,1,2,0
Timeslot 3
1,2,8,0
2,2,6,1
3,2,6,0
4,2,6,0
5,2,6,0
7,2,4,1
0,2,7,1
6,2,6,1
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
Timeslot 4
0,3,7,0
1,3,8,1
2,3,6,0
3,3,6,0
4,3,5,1
5,3,5,1
6,3,6,0
7,3,6,0
8,3,5,0
9,3,6,0
10,3,5,1
11,3,6,0
12,3,4,0
13,3,4,0
14,3,3,0
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,0
3,4,8,1
4,4,6,1
8,4,3,1
5,4,6,0
6,4,6,0
7,4,5,0
9,4,3,0
10,4,3,0
11,4,4,1
12,4,3,0
13,4,4,0
14,4,2,0
Timeslot 6
0,5,7,0
1,5,8,1
2,5,8,1
3,5,7,1
4,5,5,1
12,5,4,1
5,5,5,0
6,5,5,1
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,6,0
13,5,4,0
14,5,2,0
Timeslot 7
0,6,8,0
1,6,7,0
2,6,8,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,3,0
10,6,3,0
11,6,3,1
Objective Function value: 7739



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
5,0,6,0
6,0,5,0
7,0,5,0
8,0,3,1
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
4,1,6,0
5,1,5,0
6,1,4,0
7,1,2,0
8,1,2,0
9,1,2,0
Timeslot 3
0,2,7,1
1,2,8,0
2,2,6,1
3,2,6,0
4,2,6,0
5,2,6,0
6,2,6,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
Timeslot 4
0,3,7,0
1,3,8,1
2,3,6,0
3,3,6,0
4,3,5,1
5,3,5,1
6,3,6,0
7,3,6,0
8,3,5,0
9,3,6,0
10,3,5,1
11,3,6,0
12,3,4,0
13,3,4,0
14,3,3,0
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,0
3,4,8,1
4,4,6,1
5,4,6,0
6,4,6,0
7,4,5,0
8,4,3,1
9,4,3,0
10,4,3,0
11,4,4,1
12,4,3,0
13,4,4,0
14,4,2,0
Timeslot 6
0,5,7,0
1,5,8,1
2,5,8,1
3,5,7,1
4,5,5,1
5,5,5,0
6,5,5,1
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,6,0
12,5,4,1
13,5,4,0
14,5,2,0
Timeslot 7
0,6,8,0
1,6,7,0
2,6,8,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,3,0
10,6,3,0
11,6,3,1
Objective Function value: 7640



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
8,0,3,1
5,0,6,0
6,0,5,0
7,0,5,0
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
4,1,6,0
6,1,4,0
5,1,5,0
7,1,2,0
8,1,2,0
9,1,2,0
Timeslot 3
1,2,8,0
2,2,6,1
3,2,6,0
4,2,6,0
5,2,6,0
7,2,4,1
0,2,7,1
6,2,6,1
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
Timeslot 4
0,3,7,0
1,3,8,1
2,3,6,0
3,3,6,0
4,3,5,1
5,3,5,1
6,3,6,0
7,3,6,0
8,3,5,0
9,3,6,0
10,3,5,1
11,3,6,0
12,3,4,0
13,3,4,0
14,3,3,0
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,0
3,4,8,1
4,4,6,1
8,4,3,1
5,4,6,0
6,4,6,0
7,4,5,0
9,4,3,0
10,4,3,0
11,4,4,1
12,4,3,0
13,4,4,0
14,4,2,0
Timeslot 6
0,5,7,0
1,5,8,1
2,5,8,1
3,5,7,1
4,5,5,1
12,5,4,1
5,5,5,0
6,5,5,1
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,6,0
13,5,4,0
14,5,2,0
Timeslot 7
0,6,8,0
1,6,7,0
2,6,8,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,3,0
10,6,3,0
11,6,3,1
Objective Function value: 7623



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
8,0,3,1
5,0,6,0
6,0,5,0
7,0,5,0
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
8,1,2,0
6,1,4,0
4,1,6,0
5,1,5,0
7,1,2,0
9,1,2,0
Timeslot 3
1,2,8,0
2,2,6,1
3,2,6,0
4,2,6,0
5,2,6,0
7,2,4,1
0,2,7,1
6,2,6,1
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
Timeslot 4
0,3,7,0
1,3,8,1
2,3,6,0
3,3,6,0
4,3,5,1
5,3,5,1
6,3,6,0
7,3,6,0
8,3,5,0
9,3,6,0
10,3,5,1
11,3,6,0
12,3,4,0
13,3,4,0
14,3,3,0
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,0
3,4,8,1
4,4,6,1
8,4,3,1
5,4,6,0
6,4,6,0
7,4,5,0
9,4,3,0
10,4,3,0
11,4,4,1
12,4,3,0
13,4,4,0
14,4,2,0
Timeslot 6
0,5,7,0
1,5,8,1
2,5,8,1
3,5,7,1
4,5,5,1
12,5,4,1
5,5,5,0
6,5,5,1
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,6,0
13,5,4,0
14,5,2,0
Timeslot 7
1,6,7,0
2,6,8,1
3,6,5,1
4,6,6,1
5,6,5,1
11,6,3,1
0,6,8,0
6,6,5,0
7,6,6,0
8,6,6,0
9,6,3,0
10,6,3,0
Objective Function value: 7843



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
8,0,3,1
5,0,6,0
6,0,5,0
7,0,5,0
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
8,1,2,0
6,1,4,0
4,1,6,0
5,1,5,0
7,1,2,0
9,1,2,0
Timeslot 3
1,2,8,0
2,2,6,1
3,2,6,0
4,2,6,0
5,2,6,0
7,2,4,1
0,2,7,1
6,2,6,1
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
Timeslot 4
0,3,7,0
1,3,8,1
2,3,6,0
3,3,6,0
4,3,5,1
5,3,5,1
6,3,6,0
7,3,6,0
8,3,5,0
9,3,6,0
10,3,5,1
11,3,6,0
12,3,4,0
13,3,4,0
14,3,3,0
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,0
3,4,8,1
4,4,6,1
8,4,3,1
5,4,6,0
6,4,6,0
7,4,5,0
9,4,3,0
10,4,3,0
11,4,4,1
12,4,3,0
13,4,4,0
14,4,2,0
Timeslot 6
0,5,7,0
1,5,8,1
2,5,8,1
3,5,7,1
4,5,5,1
12,5,4,1
5,5,5,0
6,5,5,1
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,6,0
13,5,4,0
14,5,2,0
Timeslot 7
0,6,8,0
1,6,7,0
2,6,8,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,3,0
10,6,3,0
11,6,3,1
Objective Function value: 7568



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,0
2,0,7,1
3,0,8,1
4,0,6,1
8,0,3,1
5,0,6,0
6,0,5,0
7,0,5,0
9,0,3,1
Timeslot 2
0,1,7,1
1,1,8,1
2,1,7,1
3,1,8,1
8,1,2,0
6,1,4,0
4,1,6,0
5,1,5,0
7,1,2,0
9,1,2,0
Timeslot 3
1,2,8,0
2,2,6,1
