Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,8,1
3,0,6,1
4,0,6,1
5,0,6,1
6,0,5,0
7,0,5,0
8,0,4,0
9,0,3,0
Timeslot 2
0,1,8,10
1,1,7,1
2,1,8,10
3,1,7,1
4,1,4,1
5,1,4,1
6,1,3,1
7,1,4,1
8,1,3,1
9,1,4,0
10,1,2,0
11,1,2,1
Timeslot 3
0,2,5,1
1,2,5,1
2,2,6,10
3,2,5,1
4,2,6,1
5,2,4,1
6,2,3,1
7,2,3,0
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
12,2,2,0
13,2,2,1
Timeslot 4
0,3,8,1
1,3,7,1
2,3,7,1
3,3,7,1
4,3,8,1
5,3,8,0
6,3,8,0
7,3,5,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,2,1
13,3,2,0
Timeslot 5
0,4,8,1
1,4,8,10
2,4,8,1
3,4,7,1
4,4,8,1
5,4,7,0
6,4,6,0
7,4,5,1
8,4,6,0
9,4,3,0
10,4,4,0
11,4,3,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,7,1
3,5,6,0
4,5,5,1
5,5,6,1
6,5,5,0
7,5,5,1
8,5,6,1
9,5,3,0
10,5,3,0
11,5,4,0
12,5,3,0
13,5,3,1
Timeslot 7
0,6,8,1
1,6,8,1
2,6,7,1
3,6,7,1
4,6,7,10
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,2,1
Objective Function value: 1141



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,8,1
3,0,6,1
4,0,6,1
5,0,6,1
6,0,5,0
7,0,5,0
8,0,4,0
9,0,3,0
Timeslot 2
1,1,7,1
2,1,8,10
3,1,7,1
4,1,4,1
5,1,4,1
6,1,3,1
8,1,3,1
0,1,8,10
7,1,4,1
9,1,4,0
10,1,2,0
11,1,2,1
Timeslot 3
0,2,5,1
1,2,5,1
2,2,6,10
3,2,5,1
4,2,6,1
5,2,4,1
6,2,3,1
7,2,3,0
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
12,2,2,0
13,2,2,1
Timeslot 4
0,3,8,1
1,3,7,1
2,3,7,1
3,3,7,1
4,3,8,1
5,3,8,0
6,3,8,0
7,3,5,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,2,1
13,3,2,0
Timeslot 5
0,4,8,1
1,4,8,10
2,4,8,1
3,4,7,1
4,4,8,1
5,4,7,0
6,4,6,0
7,4,5,1
8,4,6,0
9,4,3,0
10,4,4,0
11,4,3,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,7,1
3,5,6,0
4,5,5,1
5,5,6,1
6,5,5,0
7,5,5,1
8,5,6,1
9,5,3,0
10,5,3,0
11,5,4,0
12,5,3,0
13,5,3,1
Timeslot 7
0,6,8,1
1,6,8,1
2,6,7,1
3,6,7,1
4,6,7,10
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,2,1
Objective Function value: 1039



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,7,1
2,0,8,1
3,0,6,1
4,0,6,1
5,0,6,1
6,0,5,0
7,0,5,0
8,0,4,0
9,0,3,0
Timeslot 2
0,1,8,10
1,1,7,1
2,1,8,10
3,1,7,1
4,1,4,1
5,1,4,1
6,1,3,1
7,1,4,1
8,1,3,1
9,1,4,0
10,1,2,0
11,1,2,1
Timeslot 3
0,2,5,1
1,2,5,1
2,2,6,10
3,2,5,1
4,2,6,1
5,2,4,1
6,2,3,1
7,2,3,0
8,2,4,0
9,2,2,0
10,2,2,0
11,2,2,0
12,2,2,0
13,2,2,1
Timeslot 4
0,3,8,1
1,3,7,1
2,3,7,1
3,3,7,1
4,3,8,1
5,3,8,0
6,3,8,0
7,3,5,0
8,3,5,0
9,3,5,0
10,3,6,0
11,3,4,0
12,3,2,1
13,3,2,0
Timeslot 5
0,4,8,1
1,4,8,10
2,4,8,1
3,4,7,1
4,4,8,1
5,4,7,0
6,4,6,0
7,4,5,1
8,4,6,0
9,4,3,0
10,4,4,0
11,4,3,0
12,4,2,1
13,4,2,0
Timeslot 6
3,5,6,0
1,5,7,1
2,5,7,1
4,5,5,1
5,5,6,1
7,5,5,1
8,5,6,1
0,5,7,10
6,5,5,0
9,5,3,0
10,5,3,0
11,5,4,0
12,5,3,0
13,5,3,1
Timeslot 7
0,6,8,1
1,6,8,1
2,6,7,1
3,6,7,1
4,6,7,10
5,6,5,1
6,6,5,0
7,6,6,0
8,6,6,0
9,6,2,1
Objective Function value: 1141



party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
