Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 7054



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
4,0,3,0
1,0,6,1
2,0,6,1
3,0,5,1
5,0,3,1
6,0,4,1
7,0,2,1
0,0,8,0
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 998



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
11,4,2,1
12,4,2,1
0,4,7,10
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 879



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
4,2,4,1
1,2,5,1
2,2,6,1
3,2,3,0
5,2,4,1
6,2,3,1
7,2,4,1
0,2,8,0
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 1015



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
1,2,5,1
2,2,6,1
3,2,3,0
5,2,4,1
6,2,3,1
7,2,4,1
10,2,2,1
0,2,8,0
4,2,4,1
8,2,4,0
9,2,2,0
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 931



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
0,1,8,0
1,1,7,0
2,1,8,0
3,1,8,1
4,1,5,1
5,1,5,0
6,1,5,0
7,1,6,1
8,1,3,1
9,1,3,0
10,1,3,0
11,1,4,1
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
8,4,3,1
11,4,2,1
12,4,2,1
0,4,7,10
1,4,8,1
6,4,3,1
7,4,3,0
9,4,4,1
10,4,2,0
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 933



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
4,1,5,1
1,1,7,0
2,1,8,0
3,1,8,1
8,1,3,1
11,1,4,1
0,1,8,0
5,1,5,0
6,1,5,0
7,1,6,1
9,1,3,0
10,1,3,0
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 999



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
2,1,8,0
1,1,7,0
3,1,8,1
4,1,5,1
8,1,3,1
11,1,4,1
0,1,8,0
5,1,5,0
6,1,5,0
7,1,6,1
9,1,3,0
10,1,3,0
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
7,5,6,0
8,5,6,0
9,5,5,0
10,5,6,0
11,5,3,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,7,1
3,6,7,0
4,6,7,1
5,6,6,1
6,6,5,0
7,6,6,0
8,6,3,1
9,6,4,0
Objective Function value: 895



Incumbent 8
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,6,1
2,0,6,1
3,0,5,1
4,0,3,0
5,0,3,1
6,0,4,1
7,0,2,1
Timeslot 2
1,1,7,0
3,1,8,1
4,1,5,1
7,1,6,1
8,1,3,1
11,1,4,1
0,1,8,0
2,1,8,0
5,1,5,0
6,1,5,0
9,1,3,0
10,1,3,0
Timeslot 3
0,2,8,0
1,2,5,1
2,2,6,1
3,2,3,0
4,2,4,1
5,2,4,1
6,2,3,1
7,2,4,1
8,2,4,0
9,2,2,0
10,2,2,1
11,2,2,0
Timeslot 4
0,3,8,1
1,3,7,1
2,3,6,1
3,3,5,1
4,3,6,10
5,3,5,1
6,3,5,0
7,3,5,0
8,3,4,0
9,3,3,0
10,3,4,1
11,3,3,0
12,3,2,0
13,3,2,0
Timeslot 5
0,4,7,10
1,4,8,1
2,4,5,0
3,4,5,1
4,4,6,1
5,4,4,1
6,4,3,1
7,4,3,0
8,4,3,1
9,4,4,1
10,4,2,0
11,4,2,1
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,10
1,5,7,1
2,5,8,1
3,5,8,1
4,5,7,1
5,5,8,0
6,5,7,0
