Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
1,0,7,1
2,0,8,10
3,0,7,1
4,0,6,1
5,0,5,0
6,0,6,1
7,0,3,1
8,0,2,0
Timeslot 2
0,1,8,0
1,1,7,1
2,1,6,1
3,1,5,0
4,1,5,1
5,1,3,0
6,1,4,0
7,1,4,1
8,1,3,1
9,1,2,0
Timeslot 3
0,2,7,0
1,2,7,1
2,2,8,1
3,2,5,1
4,2,5,1
5,2,5,0
6,2,6,0
7,2,5,0
8,2,6,0
9,2,4,1
10,2,3,0
11,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,7,1
3,3,5,1
4,3,5,1
5,3,6,1
6,3,5,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,3,0
11,3,3,0
12,3,4,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,7,10
4,4,8,1
5,4,8,0
6,4,7,0
7,4,8,0
8,4,5,0
9,4,5,1
10,4,6,0
11,4,5,0
12,4,6,0
13,4,5,0
14,4,6,1
15,4,2,1
Timeslot 6
0,5,8,10
1,5,7,10
2,5,8,10
3,5,8,1
4,5,7,1
5,5,5,0
6,5,6,1
7,5,4,1
8,5,3,0
9,5,3,1
10,5,3,0
11,5,4,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,5,1
2,6,6,1
3,6,6,1
4,6,6,0
5,6,3,1
6,6,3,0
7,6,4,0
8,6,2,1
9,6,2,1
Objective Function value: 948



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
1,0,7,1
2,0,8,10
3,0,7,1
4,0,6,1
5,0,5,0
6,0,6,1
7,0,3,1
8,0,2,0
Timeslot 2
0,1,8,0
1,1,7,1
2,1,6,1
3,1,5,0
4,1,5,1
5,1,3,0
6,1,4,0
7,1,4,1
8,1,3,1
9,1,2,0
Timeslot 3
5,2,5,0
1,2,7,1
2,2,8,1
3,2,5,1
4,2,5,1
9,2,4,1
0,2,7,0
6,2,6,0
7,2,5,0
8,2,6,0
10,2,3,0
11,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,7,1
3,3,5,1
4,3,5,1
5,3,6,1
6,3,5,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,3,0
11,3,3,0
12,3,4,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,7,10
4,4,8,1
5,4,8,0
6,4,7,0
7,4,8,0
8,4,5,0
9,4,5,1
10,4,6,0
11,4,5,0
12,4,6,0
13,4,5,0
14,4,6,1
15,4,2,1
Timeslot 6
0,5,8,10
1,5,7,10
2,5,8,10
3,5,8,1
4,5,7,1
5,5,5,0
6,5,6,1
7,5,4,1
8,5,3,0
9,5,3,1
10,5,3,0
11,5,4,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,5,1
2,6,6,1
3,6,6,1
4,6,6,0
5,6,3,1
6,6,3,0
7,6,4,0
8,6,2,1
9,6,2,1
Objective Function value: 932



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
1,0,7,1
2,0,8,10
3,0,7,1
4,0,6,1
5,0,5,0
6,0,6,1
7,0,3,1
8,0,2,0
Timeslot 2
0,1,8,0
1,1,7,1
2,1,6,1
3,1,5,0
4,1,5,1
5,1,3,0
6,1,4,0
7,1,4,1
8,1,3,1
9,1,2,0
Timeslot 3
0,2,7,0
1,2,7,1
2,2,8,1
3,2,5,1
4,2,5,1
5,2,5,0
6,2,6,0
7,2,5,0
8,2,6,0
9,2,4,1
10,2,3,0
11,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,7,1
3,3,5,1
4,3,5,1
5,3,6,1
6,3,5,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,3,0
11,3,3,0
12,3,4,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,7,10
4,4,8,1
5,4,8,0
6,4,7,0
7,4,8,0
8,4,5,0
9,4,5,1
10,4,6,0
11,4,5,0
12,4,6,0
13,4,5,0
14,4,6,1
15,4,2,1
Timeslot 6
0,5,8,10
1,5,7,10
2,5,8,10
3,5,8,1
4,5,7,1
5,5,5,0
6,5,6,1
7,5,4,1
8,5,3,0
9,5,3,1
10,5,3,0
11,5,4,0
12,5,2,1
13,5,2,0
Timeslot 7
4,6,6,0
1,6,5,1
2,6,6,1
3,6,6,1
5,6,3,1
8,6,2,1
9,6,2,1
0,6,7,0
6,6,3,0
7,6,4,0
Objective Function value: 832



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
1,0,7,1
2,0,8,10
3,0,7,1
4,0,6,1
5,0,5,0
6,0,6,1
7,0,3,1
8,0,2,0
Timeslot 2
5,1,3,0
1,1,7,1
2,1,6,1
3,1,5,0
4,1,5,1
8,1,3,1
0,1,8,0
6,1,4,0
7,1,4,1
9,1,2,0
Timeslot 3
0,2,7,0
1,2,7,1
2,2,8,1
3,2,5,1
4,2,5,1
5,2,5,0
6,2,6,0
7,2,5,0
8,2,6,0
9,2,4,1
10,2,3,0
11,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,7,1
3,3,5,1
4,3,5,1
5,3,6,1
6,3,5,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,3,0
11,3,3,0
12,3,4,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,7,10
4,4,8,1
5,4,8,0
6,4,7,0
7,4,8,0
8,4,5,0
9,4,5,1
10,4,6,0
11,4,5,0
12,4,6,0
13,4,5,0
14,4,6,1
15,4,2,1
Timeslot 6
0,5,8,10
1,5,7,10
2,5,8,10
3,5,8,1
4,5,7,1
5,5,5,0
6,5,6,1
7,5,4,1
8,5,3,0
9,5,3,1
10,5,3,0
11,5,4,0
12,5,2,1
13,5,2,0
Timeslot 7
0,6,7,0
1,6,5,1
2,6,6,1
3,6,6,1
4,6,6,0
5,6,3,1
6,6,3,0
7,6,4,0
8,6,2,1
9,6,2,1
Objective Function value: 948



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,7,1
1,0,7,1
2,0,8,10
3,0,7,1
4,0,6,1
5,0,5,0
6,0,6,1
7,0,3,1
8,0,2,0
Timeslot 2
3,1,5,0
1,1,7,1
2,1,6,1
4,1,5,1
7,1,4,1
8,1,3,1
0,1,8,0
5,1,3,0
6,1,4,0
9,1,2,0
Timeslot 3
0,2,7,0
1,2,7,1
2,2,8,1
3,2,5,1
4,2,5,1
5,2,5,0
6,2,6,0
7,2,5,0
8,2,6,0
9,2,4,1
10,2,3,0
11,2,4,0
12,2,2,0
Timeslot 4
0,3,8,1
1,3,8,1
2,3,7,1
3,3,5,1
4,3,5,1
5,3,6,1
6,3,5,0
7,3,4,0
8,3,4,0
9,3,4,0
10,3,3,0
11,3,3,0
12,3,4,0
13,3,2,0
14,3,2,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
