Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,8,0
2,0,8,1
3,0,5,1
4,0,6,0
5,0,5,1
6,0,4,1
7,0,4,1
8,0,4,1
9,0,2,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,0
3,1,8,0
4,1,8,1
5,1,6,0
6,1,6,1
7,1,5,1
8,1,6,1
9,1,3,0
10,1,3,1
11,1,2,1
Timeslot 3
0,2,7,10
1,2,7,0
2,2,5,1
3,2,6,1
4,2,5,0
5,2,5,1
6,2,6,1
7,2,5,1
8,2,6,0
9,2,3,1
10,2,4,1
11,2,4,0
12,2,3,0
13,2,2,0
Timeslot 4
0,3,7,0
1,3,7,1
2,3,7,0
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,3,1
8,3,3,0
9,3,3,0
10,3,2,1
11,3,2,1
12,3,2,0
13,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,10
3,4,7,0
4,4,8,1
5,4,7,0
6,4,7,0
7,4,6,0
8,4,5,0
9,4,5,0
10,4,3,1
11,4,4,1
12,4,3,0
13,4,3,1
14,4,4,0
Timeslot 6
0,5,8,0
1,5,7,1
2,5,7,1
3,5,6,1
4,5,5,1
5,5,4,1
6,5,3,0
7,5,3,0
8,5,4,1
9,5,2,0
10,5,2,0
11,5,2,0
12,5,2,0
13,5,2,0
14,5,2,1
Timeslot 7
0,6,8,10
1,6,8,0
2,6,7,0
3,6,7,1
4,6,5,1
5,6,6,0
6,6,6,1
7,6,3,1
8,6,4,0
9,6,3,0
10,6,4,1
11,6,2,1
Objective Function value: 7620



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
4,0,6,0
1,0,8,0
2,0,8,1
3,0,5,1
5,0,5,1
6,0,4,1
0,0,7,10
7,0,4,1
8,0,4,1
9,0,2,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,0
3,1,8,0
4,1,8,1
5,1,6,0
6,1,6,1
7,1,5,1
8,1,6,1
9,1,3,0
10,1,3,1
11,1,2,1
Timeslot 3
0,2,7,10
1,2,7,0
2,2,5,1
3,2,6,1
4,2,5,0
5,2,5,1
6,2,6,1
7,2,5,1
8,2,6,0
9,2,3,1
10,2,4,1
11,2,4,0
12,2,3,0
13,2,2,0
Timeslot 4
0,3,7,0
1,3,7,1
2,3,7,0
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,3,1
8,3,3,0
9,3,3,0
10,3,2,1
11,3,2,1
12,3,2,0
13,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,10
3,4,7,0
4,4,8,1
5,4,7,0
6,4,7,0
7,4,6,0
8,4,5,0
9,4,5,0
10,4,3,1
11,4,4,1
12,4,3,0
13,4,3,1
14,4,4,0
Timeslot 6
0,5,8,0
1,5,7,1
2,5,7,1
3,5,6,1
4,5,5,1
5,5,4,1
6,5,3,0
7,5,3,0
8,5,4,1
9,5,2,0
10,5,2,0
11,5,2,0
12,5,2,0
13,5,2,0
14,5,2,1
Timeslot 7
0,6,8,10
1,6,8,0
2,6,7,0
3,6,7,1
4,6,5,1
5,6,6,0
6,6,6,1
7,6,3,1
8,6,4,0
9,6,3,0
10,6,4,1
11,6,2,1
Objective Function value: 1011



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,8,0
2,0,8,1
3,0,5,1
4,0,6,0
5,0,5,1
6,0,4,1
7,0,4,1
8,0,4,1
9,0,2,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,0
3,1,8,0
4,1,8,1
5,1,6,0
6,1,6,1
7,1,5,1
8,1,6,1
9,1,3,0
10,1,3,1
11,1,2,1
Timeslot 3
0,2,7,10
1,2,7,0
2,2,5,1
3,2,6,1
4,2,5,0
5,2,5,1
6,2,6,1
7,2,5,1
8,2,6,0
9,2,3,1
10,2,4,1
11,2,4,0
12,2,3,0
13,2,2,0
Timeslot 4
0,3,7,0
1,3,7,1
2,3,7,0
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,3,1
8,3,3,0
9,3,3,0
10,3,2,1
11,3,2,1
12,3,2,0
13,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,10
3,4,7,0
4,4,8,1
5,4,7,0
6,4,7,0
7,4,6,0
8,4,5,0
9,4,5,0
10,4,3,1
11,4,4,1
12,4,3,0
13,4,3,1
14,4,4,0
Timeslot 6
0,5,8,0
1,5,7,1
2,5,7,1
3,5,6,1
4,5,5,1
5,5,4,1
6,5,3,0
7,5,3,0
8,5,4,1
9,5,2,0
10,5,2,0
11,5,2,0
12,5,2,0
13,5,2,0
14,5,2,1
Timeslot 7
2,6,7,0
1,6,8,0
3,6,7,1
4,6,5,1
7,6,3,1
11,6,2,1
0,6,8,10
5,6,6,0
6,6,6,1
8,6,4,0
9,6,3,0
10,6,4,1
Objective Function value: 993



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,7,10
1,0,8,0
2,0,8,1
3,0,5,1
4,0,6,0
5,0,5,1
6,0,4,1
7,0,4,1
8,0,4,1
9,0,2,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,0
3,1,8,0
4,1,8,1
5,1,6,0
6,1,6,1
7,1,5,1
8,1,6,1
9,1,3,0
10,1,3,1
11,1,2,1
Timeslot 3
0,2,7,10
1,2,7,0
2,2,5,1
3,2,6,1
4,2,5,0
5,2,5,1
6,2,6,1
7,2,5,1
8,2,6,0
9,2,3,1
10,2,4,1
11,2,4,0
12,2,3,0
13,2,2,0
Timeslot 4
0,3,7,0
1,3,7,1
2,3,7,0
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,3,1
8,3,3,0
9,3,3,0
10,3,2,1
11,3,2,1
12,3,2,0
13,3,2,0
Timeslot 5
0,4,8,0
1,4,8,1
2,4,7,10
3,4,7,0
4,4,8,1
5,4,7,0
6,4,7,0
7,4,6,0
8,4,5,0
9,4,5,0
10,4,3,1
11,4,4,1
12,4,3,0
13,4,3,1
14,4,4,0
