Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,0
2,0,6,1
3,0,5,1
4,0,6,1
5,0,4,1
6,0,2,1
7,0,2,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,8,0
1,2,8,1
2,2,6,1
3,2,5,1
4,2,6,1
5,2,6,1
6,2,6,0
7,2,5,0
8,2,6,1
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
5,3,5,0
6,3,6,0
7,3,5,0
8,3,6,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,4,0
13,3,4,1
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,1
3,4,7,1
7,4,4,1
9,4,3,1
4,4,5,0
5,4,6,0
6,4,5,0
8,4,3,0
10,4,2,0
11,4,2,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,1
1,5,5,1
2,5,6,0
3,5,6,1
5,5,5,1
9,5,4,0
4,5,6,0
6,5,5,0
7,5,6,0
8,5,5,0
10,5,3,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,6,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,6,0
7,6,3,0
8,6,3,0
9,6,3,0
10,6,3,0
11,6,2,1
Objective Function value: 982



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,0
2,0,6,1
3,0,5,1
4,0,6,1
5,0,4,1
6,0,2,1
7,0,2,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,8,0
1,2,8,1
2,2,6,1
3,2,5,1
4,2,6,1
5,2,6,1
6,2,6,0
7,2,5,0
8,2,6,1
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
5,3,5,0
6,3,6,0
7,3,5,0
8,3,6,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,4,0
13,3,4,1
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,1
3,4,7,1
7,4,4,1
9,4,3,1
4,4,5,0
5,4,6,0
6,4,5,0
8,4,3,0
10,4,2,0
11,4,2,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,1
1,5,5,1
2,5,6,0
3,5,6,1
9,5,4,0
5,5,5,1
4,5,6,0
6,5,5,0
7,5,6,0
8,5,5,0
10,5,3,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,6,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,6,0
7,6,3,0
8,6,3,0
9,6,3,0
10,6,3,0
11,6,2,1
Objective Function value: 1034



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,0
2,0,6,1
3,0,5,1
5,0,4,1
7,0,2,1
6,0,2,1
4,0,6,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,8,0
1,2,8,1
2,2,6,1
3,2,5,1
4,2,6,1
5,2,6,1
6,2,6,0
7,2,5,0
8,2,6,1
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
5,3,5,0
6,3,6,0
7,3,5,0
8,3,6,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,4,0
13,3,4,1
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,1
3,4,7,1
7,4,4,1
9,4,3,1
4,4,5,0
5,4,6,0
6,4,5,0
8,4,3,0
10,4,2,0
11,4,2,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,1
1,5,5,1
2,5,6,0
3,5,6,1
8,5,5,0
9,5,4,0
5,5,5,1
4,5,6,0
6,5,5,0
7,5,6,0
10,5,3,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,6,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,6,0
7,6,3,0
8,6,3,0
9,6,3,0
10,6,3,0
11,6,2,1
Objective Function value: 998



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,0
2,0,6,1
3,0,5,1
4,0,6,1
5,0,4,1
6,0,2,1
7,0,2,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,8,0
1,2,8,1
2,2,6,1
3,2,5,1
4,2,6,1
5,2,6,1
6,2,6,0
7,2,5,0
8,2,6,1
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
5,3,5,0
6,3,6,0
7,3,5,0
8,3,6,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,4,0
13,3,4,1
15,3,2,0
Timeslot 5
0,4,7,1
1,4,7,0
2,4,8,1
3,4,7,1
7,4,4,1
9,4,3,1
4,4,5,0
5,4,6,0
6,4,5,0
8,4,3,0
10,4,2,0
11,4,2,0
12,4,2,1
13,4,2,0
Timeslot 6
0,5,7,1
1,5,5,1
2,5,6,0
3,5,6,1
8,5,5,0
9,5,4,0
5,5,5,1
4,5,6,0
6,5,5,0
7,5,6,0
10,5,3,1
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,6,1
3,6,5,1
4,6,6,1
5,6,5,1
6,6,6,0
7,6,3,0
8,6,3,0
9,6,3,0
10,6,3,0
11,6,2,1
Objective Function value: 982



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
2,0,6,1
3,0,5,1
5,0,4,1
7,0,2,1
6,0,2,1
4,0,6,1
1,0,6,0
Timeslot 2
0,1,7,1
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
1,1,7,0
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
1,2,8,1
2,2,6,1
4,2,6,1
5,2,6,1
3,2,5,1
8,2,6,1
0,2,8,0
6,2,6,0
7,2,5,0
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
13,3,4,1
1,3,8,0
5,3,5,0
6,3,6,0
7,3,5,0
8,3,6,0
9,3,4,0
10,3,3,0
11,3,4,0
12,3,4,0
15,3,2,0
Timeslot 5
0,4,7,1
2,4,8,1
3,4,7,1
7,4,4,1
9,4,3,1
12,4,2,1
1,4,7,0
4,4,5,0
5,4,6,0
6,4,5,0
8,4,3,0
10,4,2,0
11,4,2,0
13,4,2,0
Timeslot 6
0,5,7,1
1,5,5,1
3,5,6,1
5,5,5,1
10,5,3,1
2,5,6,0
8,5,5,0
9,5,4,0
4,5,6,0
6,5,5,0
7,5,6,0
11,5,2,0
12,5,2,0
13,5,2,0
Timeslot 7
1,6,7,1
2,6,6,1
3,6,5,1
4,6,6,1
5,6,5,1
11,6,2,1
0,6,7,0
6,6,6,0
7,6,3,0
8,6,3,0
9,6,3,0
10,6,3,0
Objective Function value: 1030



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,1
1,0,6,0
2,0,6,1
3,0,5,1
5,0,4,1
7,0,2,1
6,0,2,1
4,0,6,1
Timeslot 2
0,1,7,1
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
10,1,3,1
5,1,6,1
6,1,6,0
7,1,6,0
8,1,5,0
9,1,6,0
Timeslot 3
0,2,8,0
1,2,8,1
2,2,6,1
4,2,6,1
5,2,6,1
3,2,5,1
8,2,6,1
6,2,6,0
7,2,5,0
9,2,4,0
10,2,3,0
11,2,4,0
Timeslot 4
0,3,7,1
2,3,7,1
3,3,8,1
4,3,8,1
14,3,2,1
13,3,4,1
