Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
10,3,4,1
11,3,3,0
12,3,3,0
13,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 7665



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
2,3,7,1
1,3,8,0
3,3,8,1
4,3,8,1
10,3,4,1
13,3,2,1
0,3,7,0
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
11,3,3,0
12,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1003



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
4,1,6,0
1,1,8,1
2,1,8,1
3,1,6,1
5,1,6,1
6,1,6,1
0,1,8,0
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
10,3,4,1
11,3,3,0
12,3,3,0
13,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1102



Incumbent 3
party,timeslot,party_size,seated
Timeslot 1
5,0,4,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
7,0,4,1
8,0,2,1
0,0,8,0
6,0,3,0
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
10,3,4,1
11,3,3,0
12,3,3,0
13,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1154



Incumbent 4
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
4,2,5,1
1,2,5,1
2,2,5,0
3,2,6,0
5,2,5,1
7,2,3,1
10,2,2,1
0,2,5,0
6,2,3,0
8,2,4,0
9,2,3,0
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
10,3,4,1
11,3,3,0
12,3,3,0
13,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1051



Incumbent 5
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
3,2,6,0
1,2,5,1
2,2,5,0
5,2,5,1
7,2,3,1
10,2,2,1
0,2,5,0
4,2,5,1
6,2,3,0
8,2,4,0
9,2,3,0
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,7,1
3,3,8,1
4,3,8,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
9,3,3,1
10,3,4,1
11,3,3,0
12,3,3,0
13,3,2,1
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1054



Incumbent 6
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
1,3,8,0
3,3,8,1
4,3,8,1
9,3,3,1
10,3,4,1
13,3,2,1
0,3,7,0
2,3,7,1
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
11,3,3,0
12,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1000



Incumbent 7
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
8,2,4,0
9,2,3,0
10,2,2,1
11,2,2,0
12,2,2,0
Timeslot 4
2,3,7,1
3,3,8,1
4,3,8,1
9,3,3,1
10,3,4,1
13,3,2,1
0,3,7,0
1,3,8,0
5,3,6,0
6,3,6,0
7,3,6,0
8,3,3,0
11,3,3,0
12,3,3,0
Timeslot 5
0,4,7,1
1,4,8,1
2,4,7,1
3,4,8,1
4,4,8,1
5,4,7,0
6,4,5,0
7,4,5,0
8,4,5,0
9,4,3,0
10,4,3,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,2,1
Timeslot 6
0,5,8,0
1,5,7,1
2,5,8,1
3,5,7,1
4,5,6,0
5,5,6,1
6,5,5,0
7,5,5,0
8,5,3,1
9,5,3,0
10,5,4,1
11,5,3,0
12,5,4,0
13,5,4,0
14,5,3,0
Timeslot 7
0,6,7,1
1,6,8,1
2,6,7,10
3,6,6,10
4,6,6,1
5,6,5,1
6,6,5,0
7,6,3,0
8,6,4,1
9,6,2,1
10,6,2,1
Objective Function value: 1102



Incumbent 8
party,timeslot,party_size,seated
Timeslot 1
0,0,8,0
1,0,8,1
2,0,5,1
3,0,6,1
4,0,6,1
5,0,4,0
6,0,3,0
7,0,4,1
8,0,2,1
Timeslot 2
0,1,8,0
1,1,8,1
2,1,8,1
3,1,6,1
4,1,6,0
5,1,6,1
6,1,6,1
7,1,4,0
8,1,4,0
9,1,3,0
10,1,3,0
11,1,2,0
Timeslot 3
0,2,5,0
1,2,5,1
2,2,5,0
3,2,6,0
4,2,5,1
5,2,5,1
6,2,3,0
7,2,3,1
